Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-04,TSLA,TESLA INC,2548.00,838.29,2135962.92,9.78,S
2022-3-04,MSFT,MICROSOFT CORP,3726.00,289.86,1080018.36,4.95,S
2022-3-04,NVDA,NVIDIA CORP,4649.00,229.36,1066294.64,4.88,S
2022-3-04,MGM,MGM RESORTS INTERNATIONAL,25189.00,41.54,1046351.06,4.79,S
2022-3-04,AAPL,APPLE INC,5830.00,163.17,951281.10,4.36,S
2022-3-04,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,71.78,907370.98,4.16,MF
2022-3-04,BX,BLACKSTONE INC,6962.00,121.16,843515.92,3.86,S
2022-3-04,LEN,LENNAR CORP-A,8652.00,89.14,771239.28,3.53,S
2022-3-04,HD,HOME DEPOT INC,2277.00,324.26,738340.02,3.38,S
2022-3-04,GOOG,ALPHABET INC-CL C,277.00,2642.44,731955.88,3.35,S
2022-3-04,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,182.48,647986.48,2.97,S
2022-3-04,NFLX,NETFLIX INC,1638.00,361.73,592513.74,2.71,S
2022-3-04,MSOS,ADVISORSHARES PURE US CANN,30223.00,19.43,587232.89,2.69,MF
2022-3-04,ZTS,ZOETIS INC,2803.00,196.84,551742.52,2.53,S
2022-3-04,TMO,THERMO FISHER SCIENTIFIC INC,993.00,547.32,543488.76,2.49,S
2022-3-04,PLD,PROLOGIS INC,3008.00,150.84,453726.72,2.08,S
2022-3-04,ASML,ASML HOLDING NV-NY REG SHS,754.00,594.32,448117.28,2.05,FS
2022-3-04,SIVB,SVB FINANCIAL GROUP,806.00,543.12,437754.72,2.01,S
2022-3-04,NKE,NIKE INC -CL B,3312.00,131.18,434468.16,1.99,S
2022-3-04,SCHW,SCHWAB (CHARLES) CORP,5422.00,79.23,429585.06,1.97,S
2022-3-04,DIS,WALT DISNEY CO/THE,3038.00,140.72,427507.36,1.96,S
2022-3-04,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,293.23,385304.22,1.77,S
2022-3-04,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,37.84,378400.00,1.73,S
2022-3-04,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,18.24,367773.12,1.68,S
2022-3-04,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,11.10,359850.90,1.65,S
2022-3-04,AMZN,AMAZON.COM INC,117.00,2912.82,340799.94,1.56,S
2022-3-04,NEE,NEXTERA ENERGY INC,4230.00,80.21,339288.30,1.55,S
2022-3-04,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,165.75,334980.75,1.53,S
2022-3-04,ELY,CALLAWAY GOLF COMPANY,14006.00,22.92,321017.52,1.47,S
2022-3-04,FLGT,FULGENT GENETICS INC,5906.00,53.84,317979.04,1.46,S
2022-3-04,SPWR,SUNPOWER CORP,14242.00,16.82,239550.44,1.10,S
2022-3-04,ABT,ABBOTT LABORATORIES,1849.00,121.41,224487.09,1.03,S
2022-3-04,ILMN,ILLUMINA INC,686.00,323.57,221969.02,1.02,S
2022-3-04,RBLX,ROBLOX CORP -CLASS A,5241.00,42.29,221641.89,1.02,S
2022-3-04,SQ,BLOCK INC,1970.00,106.52,209844.40,0.96,S
2022-3-04,MRNA,MODERNA INC,1497.00,136.46,204280.62,0.94,S
2022-3-04,SBUX,STARBUCKS CORP,2000.00,90.03,180060.00,0.83,S
2022-3-04,CCI,CROWN CASTLE INTL CORP,884.00,179.10,158324.40,0.73,S
2022-3-04,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,158.01,155639.85,0.71,S
2022-3-04,FUV,ARCIMOTO INC,22692.00,6.41,145455.72,0.67,S
2022-3-04,PFE,PFIZER INC,2958.00,48.65,143906.70,0.66,S
2022-3-04,SHOP,SHOPIFY INC - CLASS A,227.00,600.84,136390.68,0.63,FS
2022-3-04,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,179.03,128901.60,0.59,S
2022-3-04,EA,ELECTRONIC ARTS INC,985.00,126.49,124592.65,0.57,S
2022-3-04,MP,MP MATERIALS CORP,3000.00,38.95,116850.00,0.54,S
2022-3-04,U,UNITY SOFTWARE INC,1279.00,89.01,113843.79,0.52,S
2022-3-04,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,145854.18,1.00,145854.18,0.67,MM
2022-3-04,CASH,CASH,-8286.29,100.00,-8286.29,-0.04,CA
