Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-16,TSLA,TESLA INC,2488.00,840.23,2090492.24,9.65,S
2022-3-16,NVDA,NVIDIA CORP,4539.00,244.96,1111873.44,5.13,S
2022-3-16,MSFT,MICROSOFT CORP,3636.00,294.39,1070402.04,4.94,S
2022-3-16,MGM,MGM RESORTS INTERNATIONAL,24579.00,42.17,1036496.43,4.78,S
2022-3-16,AAPL,APPLE INC,5690.00,159.59,908067.10,4.19,S
2022-3-16,BX,BLACKSTONE INC,6792.00,116.05,788211.60,3.64,S
2022-3-16,GOOG,ALPHABET INC-CL C,272.00,2673.81,727276.32,3.36,S
2022-3-16,IIPR,INNOVATIVE INDUSTRIAL PROPER,3466.00,193.17,669527.22,3.09,S
2022-3-16,LEN,LENNAR CORP-A,7272.00,88.51,643644.72,2.97,S
2022-3-16,HD,HOME DEPOT INC,1827.00,330.91,604572.57,2.79,S
2022-3-16,NFLX,NETFLIX INC,1598.00,357.53,571332.94,2.64,S
2022-3-16,MSOS,ADVISORSHARES PURE US CANN,29488.00,19.00,560272.00,2.59,MF
2022-3-16,DE,DEERE & CO,1405.00,388.20,545421.00,2.52,S
2022-3-16,ZTS,ZOETIS INC,2733.00,191.92,524517.36,2.42,S
2022-3-16,TMO,THERMO FISHER SCIENTIFIC INC,873.00,562.55,491106.15,2.27,S
2022-3-16,SCHW,SCHWAB (CHARLES) CORP,5292.00,88.94,470670.48,2.17,S
2022-3-16,PLD,PROLOGIS INC,2933.00,154.57,453353.81,2.09,S
2022-3-16,SIVB,SVB FINANCIAL GROUP,786.00,556.80,437644.80,2.02,S
2022-3-16,SEDG,SOLAREDGE TECHNOLOGIES INC,1284.00,334.16,429061.44,1.98,S
2022-3-16,LIT,GLOBAL X LITHIUM & BATTERY T,5695.00,72.31,411805.45,1.90,MF
2022-3-16,DIS,WALT DISNEY CO/THE,2963.00,138.14,409308.82,1.89,S
2022-3-16,NKE,NIKE INC -CL B,3232.00,125.19,404614.08,1.87,S
2022-3-16,WOOF,PETCO HEALTH AND WELLNESS CO,19673.00,19.30,379688.90,1.75,S
2022-3-16,MGP,MGM GROWTH PROPERTIES LLC-A,9760.00,37.18,362876.80,1.67,S
2022-3-16,ASML,ASML HOLDING NV-NY REG SHS,534.00,650.63,347436.42,1.60,FS
2022-3-16,FLGT,FULGENT GENETICS INC,5761.00,59.67,343758.87,1.59,S
2022-3-16,AMZN,AMAZON.COM INC,112.00,3062.08,342952.96,1.58,S
2022-3-16,GGPI,GORES GUGGENHEIM INC -CL A,31634.00,10.81,341963.54,1.58,S
2022-3-16,NEE,NEXTERA ENERGY INC,4125.00,82.51,340353.75,1.57,S
2022-3-16,COIN,COINBASE GLOBAL INC -CLASS A,1971.00,172.53,340056.63,1.57,S
2022-3-16,SPWR,SUNPOWER CORP,13897.00,20.20,280719.40,1.30,S
2022-3-16,PFE,PFIZER INC,4863.00,52.92,257349.96,1.19,S
2022-3-16,MRNA,MODERNA INC,1462.00,169.36,247604.32,1.14,S
2022-3-16,ELY,CALLAWAY GOLF COMPANY,9666.00,23.98,231790.68,1.07,S
2022-3-16,SQ,BLOCK INC,1920.00,116.05,222816.00,1.03,S
2022-3-16,ABT,ABBOTT LABORATORIES,1804.00,119.48,215541.92,1.00,S
2022-3-16,RBLX,ROBLOX CORP -CLASS A,5116.00,41.51,212365.16,0.98,S
2022-3-16,MP,MP MATERIALS CORP,3900.00,43.95,171405.00,0.79,S
2022-3-16,NOC,NORTHROP GRUMMAN CORP,395.00,424.43,167649.85,0.77,S
2022-3-16,ILMN,ILLUMINA INC,485.00,326.60,158401.00,0.73,S
2022-3-16,CRWD,CROWDSTRIKE HOLDINGS INC - A,805.00,189.66,152676.30,0.70,S
2022-3-16,CCI,CROWN CASTLE INTL CORP,864.00,173.40,149817.60,0.69,S
2022-3-16,FUV,ARCIMOTO INC,22137.00,6.59,145882.83,0.67,S
2022-3-16,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,960.00,148.79,142838.40,0.66,S
2022-3-16,SHOP,SHOPIFY INC - CLASS A,222.00,622.38,138168.36,0.64,FS
2022-3-16,ZIM,ZIM INTEGRATED SHIPPING SERV,1465.00,88.62,129828.30,0.60,FS
2022-3-16,EA,ELECTRONIC ARTS INC,960.00,123.80,118848.00,0.55,S
2022-3-16,U,UNITY SOFTWARE INC,1249.00,87.73,109574.77,0.51,S
2022-3-16,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,340768.61,1.00,340768.61,1.57,MM
2022-3-16,CASH,CASH,-79901.23,100.00,-79901.23,-0.37,CA
