Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-07,TSLA,TESLA INC,2548.00,804.58,2050069.84,9.79,S
2022-3-07,MSFT,MICROSOFT CORP,3726.00,278.91,1039218.66,4.96,S
2022-3-07,NVDA,NVIDIA CORP,4649.00,213.52,992654.48,4.74,S
2022-3-07,MGM,MGM RESORTS INTERNATIONAL,25189.00,37.48,944083.72,4.51,S
2022-3-07,AAPL,APPLE INC,5830.00,159.30,928719.00,4.44,S
2022-3-07,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,68.12,861104.92,4.11,MF
2022-3-07,BX,BLACKSTONE INC,6962.00,109.04,759136.48,3.63,S
2022-3-07,HD,HOME DEPOT INC,2277.00,322.77,734947.29,3.51,S
2022-3-07,LEN,LENNAR CORP-A,8652.00,83.26,720365.52,3.44,S
2022-3-07,GOOG,ALPHABET INC-CL C,277.00,2529.29,700613.33,3.35,S
2022-3-07,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,181.29,643760.79,3.08,S
2022-3-07,NFLX,NETFLIX INC,1638.00,350.26,573725.88,2.74,S
2022-3-07,MSOS,ADVISORSHARES PURE US CANN,30223.00,18.45,557614.35,2.66,MF
2022-3-07,TMO,THERMO FISHER SCIENTIFIC INC,993.00,534.75,531006.75,2.54,S
2022-3-07,ZTS,ZOETIS INC,2803.00,188.09,527216.27,2.52,S
2022-3-07,PLD,PROLOGIS INC,3008.00,148.91,447921.28,2.14,S
2022-3-07,ASML,ASML HOLDING NV-NY REG SHS,754.00,574.34,433052.36,2.07,FS
2022-3-07,SCHW,SCHWAB (CHARLES) CORP,5422.00,76.36,414023.92,1.98,S
2022-3-07,NKE,NIKE INC -CL B,3312.00,124.44,412145.28,1.97,S
2022-3-07,DIS,WALT DISNEY CO/THE,3038.00,133.50,405573.00,1.94,S
2022-3-07,SIVB,SVB FINANCIAL GROUP,806.00,494.35,398446.10,1.90,S
2022-3-07,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,297.89,391427.46,1.87,S
2022-3-07,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,36.36,363600.00,1.74,S
2022-3-07,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,11.04,357905.76,1.71,S
2022-3-07,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,17.69,356683.47,1.70,S
2022-3-07,NEE,NEXTERA ENERGY INC,4230.00,84.18,356081.40,1.70,S
2022-3-07,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,161.14,325663.94,1.56,S
2022-3-07,AMZN,AMAZON.COM INC,117.00,2749.06,321640.02,1.54,S
2022-3-07,FLGT,FULGENT GENETICS INC,5906.00,49.85,294414.10,1.41,S
2022-3-07,ELY,CALLAWAY GOLF COMPANY,14006.00,20.77,290904.62,1.39,S
2022-3-07,SPWR,SUNPOWER CORP,14242.00,17.40,247810.80,1.18,S
2022-3-07,ABT,ABBOTT LABORATORIES,1849.00,118.86,219772.14,1.05,S
2022-3-07,ILMN,ILLUMINA INC,686.00,316.33,217002.38,1.04,S
2022-3-07,RBLX,ROBLOX CORP -CLASS A,5241.00,41.30,216453.30,1.03,S
2022-3-07,SQ,BLOCK INC,1970.00,97.51,192094.70,0.92,S
2022-3-07,MRNA,MODERNA INC,1497.00,126.46,189310.62,0.90,S
2022-3-07,SBUX,STARBUCKS CORP,2000.00,84.46,168920.00,0.81,S
2022-3-07,FUV,ARCIMOTO INC,22692.00,7.14,162020.88,0.77,S
2022-3-07,CCI,CROWN CASTLE INTL CORP,884.00,176.78,156273.52,0.75,S
2022-3-07,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,158.00,155630.00,0.74,S
2022-3-07,PFE,PFIZER INC,2958.00,47.98,141924.84,0.68,S
2022-3-07,SHOP,SHOPIFY INC - CLASS A,227.00,560.80,127301.60,0.61,FS
2022-3-07,EA,ELECTRONIC ARTS INC,985.00,126.26,124366.10,0.59,S
2022-3-07,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,167.40,120528.00,0.58,S
2022-3-07,MP,MP MATERIALS CORP,3000.00,39.37,118110.00,0.56,S
2022-3-07,U,UNITY SOFTWARE INC,1279.00,81.80,104622.20,0.50,S
2022-3-07,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,137952.29,1.00,137952.29,0.66,MM
2022-3-07,CASH,CASH,-646.95,100.00,-646.95,nan,CA
