Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-10,TSLA,TESLA INC,2548.00,838.30,2135988.40,9.81,S
2022-3-10,MSFT,MICROSOFT CORP,3726.00,285.59,1064108.34,4.89,S
2022-3-10,NVDA,NVIDIA CORP,4649.00,226.58,1053370.42,4.84,S
2022-3-10,MGM,MGM RESORTS INTERNATIONAL,25189.00,40.89,1029978.21,4.73,S
2022-3-10,AAPL,APPLE INC,5830.00,158.52,924171.60,4.25,S
2022-3-10,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,70.50,891190.50,4.09,MF
2022-3-10,BX,BLACKSTONE INC,6962.00,116.86,813579.32,3.74,S
2022-3-10,LEN,LENNAR CORP-A,8652.00,88.09,762154.68,3.50,S
2022-3-10,GOOG,ALPHABET INC-CL C,277.00,2653.64,735058.28,3.38,S
2022-3-10,HD,HOME DEPOT INC,2277.00,317.94,723949.38,3.33,S
2022-3-10,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,189.30,672204.30,3.09,S
2022-3-10,NFLX,NETFLIX INC,1638.00,356.77,584389.26,2.68,S
2022-3-10,MSOS,ADVISORSHARES PURE US CANN,30223.00,19.13,578165.99,2.66,MF
2022-3-10,TMO,THERMO FISHER SCIENTIFIC INC,993.00,538.25,534482.25,2.46,S
2022-3-10,ZTS,ZOETIS INC,2803.00,189.22,530383.66,2.44,S
2022-3-10,PLD,PROLOGIS INC,3008.00,151.08,454448.64,2.09,S
2022-3-10,ASML,ASML HOLDING NV-NY REG SHS,754.00,600.07,452452.78,2.08,FS
2022-3-10,SIVB,SVB FINANCIAL GROUP,806.00,539.51,434845.06,2.00,S
2022-3-10,SCHW,SCHWAB (CHARLES) CORP,5422.00,79.65,431862.30,1.98,S
2022-3-10,NKE,NIKE INC -CL B,3312.00,126.03,417411.36,1.92,S
2022-3-10,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,315.13,414080.82,1.90,S
2022-3-10,DIS,WALT DISNEY CO/THE,3038.00,133.64,405998.32,1.87,S
2022-3-10,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,18.88,380677.44,1.75,S
2022-3-10,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,37.14,371400.00,1.71,S
2022-3-10,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,10.98,355960.62,1.64,S
2022-3-10,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,172.97,349572.37,1.61,S
2022-3-10,AMZN,AMAZON.COM INC,117.00,2936.35,343552.95,1.58,S
2022-3-10,NEE,NEXTERA ENERGY INC,4230.00,80.16,339076.80,1.56,S
2022-3-10,FLGT,FULGENT GENETICS INC,5906.00,55.89,330086.34,1.52,S
2022-3-10,ELY,CALLAWAY GOLF COMPANY,14006.00,22.86,320177.16,1.47,S
2022-3-10,SPWR,SUNPOWER CORP,14242.00,20.89,297515.38,1.37,S
2022-3-10,RBLX,ROBLOX CORP -CLASS A,5241.00,41.47,217344.27,1.00,S
2022-3-10,ILMN,ILLUMINA INC,686.00,316.04,216803.44,1.00,S
2022-3-10,ABT,ABBOTT LABORATORIES,1849.00,117.00,216333.00,0.99,S
2022-3-10,SQ,BLOCK INC,1970.00,108.87,214473.90,0.99,S
2022-3-10,MRNA,MODERNA INC,1497.00,139.52,208861.44,0.96,S
2022-3-10,SBUX,STARBUCKS CORP,2000.00,87.16,174320.00,0.80,S
2022-3-10,FUV,ARCIMOTO INC,22692.00,7.32,166105.44,0.76,S
2022-3-10,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,158.29,155915.65,0.72,S
2022-3-10,CCI,CROWN CASTLE INTL CORP,884.00,176.17,155734.28,0.72,S
2022-3-10,PFE,PFIZER INC,2958.00,49.20,145533.60,0.67,S
2022-3-10,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,191.02,137534.40,0.63,S
2022-3-10,MP,MP MATERIALS CORP,3000.00,45.70,137100.00,0.63,S
2022-3-10,SHOP,SHOPIFY INC - CLASS A,227.00,553.18,125571.86,0.58,FS
2022-3-10,EA,ELECTRONIC ARTS INC,985.00,123.68,121824.80,0.56,S
2022-3-10,U,UNITY SOFTWARE INC,1279.00,83.12,106310.48,0.49,S
2022-3-10,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,140295.89,1.00,140295.89,0.64,MM
2022-3-10,CASH,CASH,-825.59,100.00,-825.59,nan,CA
