Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-11,TSLA,TESLA INC,2548.00,795.35,2026551.80,9.53,S
2022-3-11,MSFT,MICROSOFT CORP,3726.00,280.07,1043540.82,4.91,S
2022-3-11,NVDA,NVIDIA CORP,4649.00,221.00,1027429.00,4.83,S
2022-3-11,MGM,MGM RESORTS INTERNATIONAL,25189.00,40.11,1010330.79,4.75,S
2022-3-11,AAPL,APPLE INC,5830.00,154.73,902075.90,4.24,S
2022-3-11,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,68.89,870838.49,4.10,MF
2022-3-11,BX,BLACKSTONE INC,6962.00,116.05,807940.10,3.80,S
2022-3-11,LEN,LENNAR CORP-A,8652.00,86.57,749003.64,3.52,S
2022-3-11,GOOG,ALPHABET INC-CL C,277.00,2609.51,722834.27,3.40,S
2022-3-11,HD,HOME DEPOT INC,2277.00,316.79,721330.83,3.39,S
2022-3-11,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,186.91,663717.41,3.12,S
2022-3-11,MSOS,ADVISORSHARES PURE US CANN,30223.00,18.62,562752.26,2.65,MF
2022-3-11,NFLX,NETFLIX INC,1638.00,340.32,557444.16,2.62,S
2022-3-11,TMO,THERMO FISHER SCIENTIFIC INC,993.00,529.81,526101.33,2.47,S
2022-3-11,ZTS,ZOETIS INC,2803.00,185.29,519367.87,2.44,S
2022-3-11,PLD,PROLOGIS INC,3008.00,147.83,444672.64,2.09,S
2022-3-11,ASML,ASML HOLDING NV-NY REG SHS,754.00,585.85,441730.90,2.08,FS
2022-3-11,SCHW,SCHWAB (CHARLES) CORP,5422.00,80.24,435061.28,2.05,S
2022-3-11,SIVB,SVB FINANCIAL GROUP,806.00,530.59,427655.54,2.01,S
2022-3-11,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,317.93,417760.02,1.96,S
2022-3-11,NKE,NIKE INC -CL B,3312.00,122.63,406150.56,1.91,S
2022-3-11,DIS,WALT DISNEY CO/THE,3038.00,131.75,400256.50,1.88,S
2022-3-11,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,18.43,371604.09,1.75,S
2022-3-11,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,36.83,368300.00,1.73,S
2022-3-11,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,10.89,353042.91,1.66,S
2022-3-11,AMZN,AMAZON.COM INC,117.00,2910.49,340527.33,1.60,S
2022-3-11,NEE,NEXTERA ENERGY INC,4230.00,79.30,335439.00,1.58,S
2022-3-11,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,160.07,323501.47,1.52,S
2022-3-11,FLGT,FULGENT GENETICS INC,5906.00,54.20,320105.20,1.51,S
2022-3-11,ELY,CALLAWAY GOLF COMPANY,14006.00,22.59,316395.54,1.49,S
2022-3-11,SPWR,SUNPOWER CORP,14242.00,20.50,291961.00,1.37,S
2022-3-11,ABT,ABBOTT LABORATORIES,1849.00,114.02,210822.98,0.99,S
2022-3-11,ILMN,ILLUMINA INC,686.00,303.87,208454.82,0.98,S
2022-3-11,MRNA,MODERNA INC,1497.00,138.20,206885.40,0.97,S
2022-3-11,RBLX,ROBLOX CORP -CLASS A,5241.00,39.24,205656.84,0.97,S
2022-3-11,SQ,BLOCK INC,1970.00,101.93,200802.10,0.94,S
2022-3-11,SBUX,STARBUCKS CORP,2000.00,82.73,165460.00,0.78,S
2022-3-11,FUV,ARCIMOTO INC,22692.00,6.83,154986.36,0.73,S
2022-3-11,CCI,CROWN CASTLE INTL CORP,884.00,173.63,153488.92,0.72,S
2022-3-11,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,153.49,151187.65,0.71,S
2022-3-11,PFE,PFIZER INC,2958.00,50.27,148698.66,0.70,S
2022-3-11,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,190.54,137188.80,0.65,S
2022-3-11,MP,MP MATERIALS CORP,3000.00,43.73,131190.00,0.62,S
2022-3-11,SHOP,SHOPIFY INC - CLASS A,227.00,544.37,123571.99,0.58,FS
2022-3-11,EA,ELECTRONIC ARTS INC,985.00,122.33,120495.05,0.57,S
2022-3-11,U,UNITY SOFTWARE INC,1279.00,78.86,100861.94,0.47,S
2022-3-11,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,137546.13,1.00,137546.13,0.65,MM
2022-3-11,CASH,CASH,2787.28,100.00,2787.28,0.01,CA
