Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-09,TSLA,TESLA INC,2548.00,858.97,2188655.56,9.98,S
2022-3-09,MSFT,MICROSOFT CORP,3726.00,288.50,1074951.00,4.90,S
2022-3-09,NVDA,NVIDIA CORP,4649.00,230.14,1069920.86,4.88,S
2022-3-09,MGM,MGM RESORTS INTERNATIONAL,25189.00,40.28,1014612.92,4.63,S
2022-3-09,AAPL,APPLE INC,5830.00,162.95,949998.50,4.33,S
2022-3-09,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,70.01,884996.41,4.04,MF
2022-3-09,BX,BLACKSTONE INC,6962.00,116.14,808566.68,3.69,S
2022-3-09,LEN,LENNAR CORP-A,8652.00,87.50,757050.00,3.45,S
2022-3-09,GOOG,ALPHABET INC-CL C,277.00,2677.32,741617.64,3.38,S
2022-3-09,HD,HOME DEPOT INC,2277.00,317.20,722264.40,3.29,S
2022-3-09,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,187.24,664889.24,3.03,S
2022-3-09,NFLX,NETFLIX INC,1638.00,358.79,587698.02,2.68,S
2022-3-09,MSOS,ADVISORSHARES PURE US CANN,30223.00,18.98,573632.54,2.62,MF
2022-3-09,TMO,THERMO FISHER SCIENTIFIC INC,993.00,541.70,537908.10,2.45,S
2022-3-09,ZTS,ZOETIS INC,2803.00,189.58,531392.74,2.42,S
2022-3-09,ASML,ASML HOLDING NV-NY REG SHS,754.00,621.34,468490.36,2.14,FS
2022-3-09,PLD,PROLOGIS INC,3008.00,150.48,452643.84,2.06,S
2022-3-09,SIVB,SVB FINANCIAL GROUP,806.00,538.94,434385.64,1.98,S
2022-3-09,SCHW,SCHWAB (CHARLES) CORP,5422.00,79.39,430452.58,1.96,S
2022-3-09,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,326.98,429651.72,1.96,S
2022-3-09,NKE,NIKE INC -CL B,3312.00,126.95,420458.40,1.92,S
2022-3-09,DIS,WALT DISNEY CO/THE,3038.00,133.65,406028.70,1.85,S
2022-3-09,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,19.12,385516.56,1.76,S
2022-3-09,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,37.31,373100.00,1.70,S
2022-3-09,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,178.97,361698.37,1.65,S
2022-3-09,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,11.10,359850.90,1.64,S
2022-3-09,NEE,NEXTERA ENERGY INC,4230.00,80.32,339753.60,1.55,S
2022-3-09,FLGT,FULGENT GENETICS INC,5906.00,57.05,336937.30,1.54,S
2022-3-09,AMZN,AMAZON.COM INC,117.00,2785.58,325912.86,1.49,S
2022-3-09,ELY,CALLAWAY GOLF COMPANY,14006.00,23.15,324238.90,1.48,S
2022-3-09,SPWR,SUNPOWER CORP,14242.00,20.87,297230.54,1.36,S
2022-3-09,RBLX,ROBLOX CORP -CLASS A,5241.00,44.38,232595.58,1.06,S
2022-3-09,ILMN,ILLUMINA INC,686.00,324.71,222751.06,1.02,S
2022-3-09,SQ,BLOCK INC,1970.00,111.92,220482.40,1.01,S
2022-3-09,ABT,ABBOTT LABORATORIES,1849.00,118.39,218903.11,1.00,S
2022-3-09,MRNA,MODERNA INC,1497.00,142.49,213307.53,0.97,S
2022-3-09,SBUX,STARBUCKS CORP,2000.00,87.60,175200.00,0.80,S
2022-3-09,FUV,ARCIMOTO INC,22692.00,7.62,172913.04,0.79,S
2022-3-09,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,158.32,155945.20,0.71,S
2022-3-09,CCI,CROWN CASTLE INTL CORP,884.00,173.96,153780.64,0.70,S
2022-3-09,PFE,PFIZER INC,2958.00,48.75,144202.50,0.66,S
2022-3-09,MP,MP MATERIALS CORP,3000.00,45.48,136440.00,0.62,S
2022-3-09,SHOP,SHOPIFY INC - CLASS A,227.00,587.65,133396.55,0.61,FS
2022-3-09,EA,ELECTRONIC ARTS INC,985.00,125.52,123637.20,0.56,S
2022-3-09,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,169.79,122248.80,0.56,S
2022-3-09,U,UNITY SOFTWARE INC,1279.00,87.87,112385.73,0.51,S
2022-3-09,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,137952.29,1.00,137952.29,0.63,MM
2022-3-09,CASH,CASH,2859.39,100.00,2859.39,0.01,CA
