Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-15,TSLA,TESLA INC,2488.00,801.89,1995102.32,9.60,S
2022-3-15,MSFT,MICROSOFT CORP,3636.00,287.15,1044077.40,5.02,S
2022-3-15,NVDA,NVIDIA CORP,4539.00,229.73,1042744.47,5.02,S
2022-3-15,MGM,MGM RESORTS INTERNATIONAL,24579.00,40.09,985372.11,4.74,S
2022-3-15,AAPL,APPLE INC,5690.00,155.09,882462.10,4.25,S
2022-3-15,BX,BLACKSTONE INC,6792.00,109.72,745218.24,3.59,S
2022-3-15,GOOG,ALPHABET INC-CL C,272.00,2593.21,705353.12,3.39,S
2022-3-15,IIPR,INNOVATIVE INDUSTRIAL PROPER,3466.00,185.51,642977.66,3.09,S
2022-3-15,LEN,LENNAR CORP-A,7272.00,86.27,627355.44,3.02,S
2022-3-15,HD,HOME DEPOT INC,1827.00,328.54,600242.58,2.89,S
2022-3-15,NFLX,NETFLIX INC,1598.00,343.75,549312.50,2.64,S
2022-3-15,DE,DEERE & CO,1405.00,388.47,545800.35,2.63,S
2022-3-15,MSOS,ADVISORSHARES PURE US CANN,29488.00,18.08,533143.04,2.56,MF
2022-3-15,ZTS,ZOETIS INC,2733.00,189.11,516837.63,2.49,S
2022-3-15,TMO,THERMO FISHER SCIENTIFIC INC,873.00,550.64,480708.72,2.31,S
2022-3-15,PLD,PROLOGIS INC,2933.00,151.84,445346.72,2.14,S
2022-3-15,SCHW,SCHWAB (CHARLES) CORP,5292.00,83.17,440135.64,2.12,S
2022-3-15,SIVB,SVB FINANCIAL GROUP,786.00,526.66,413954.76,1.99,S
2022-3-15,SEDG,SOLAREDGE TECHNOLOGIES INC,1284.00,315.75,405423.00,1.95,S
2022-3-15,DIS,WALT DISNEY CO/THE,2963.00,134.20,397634.60,1.91,S
2022-3-15,NKE,NIKE INC -CL B,3232.00,119.40,385900.80,1.86,S
2022-3-15,LIT,GLOBAL X LITHIUM & BATTERY T,5695.00,67.20,382704.00,1.84,MF
2022-3-15,WOOF,PETCO HEALTH AND WELLNESS CO,19673.00,18.88,371426.24,1.79,S
2022-3-15,MGP,MGM GROWTH PROPERTIES LLC-A,9760.00,36.64,357606.40,1.72,S
2022-3-15,NEE,NEXTERA ENERGY INC,4125.00,81.98,338167.50,1.63,S
2022-3-15,GGPI,GORES GUGGENHEIM INC -CL A,31634.00,10.69,338167.46,1.63,S
2022-3-15,AMZN,AMAZON.COM INC,112.00,2947.33,330100.96,1.59,S
2022-3-15,FLGT,FULGENT GENETICS INC,5761.00,56.25,324056.25,1.56,S
2022-3-15,ASML,ASML HOLDING NV-NY REG SHS,534.00,596.70,318637.80,1.53,FS
2022-3-15,COIN,COINBASE GLOBAL INC -CLASS A,1971.00,155.98,307436.58,1.48,S
2022-3-15,SPWR,SUNPOWER CORP,13897.00,19.15,266127.55,1.28,S
2022-3-15,PFE,PFIZER INC,4863.00,52.21,253897.23,1.22,S
2022-3-15,MRNA,MODERNA INC,1462.00,148.12,216551.44,1.04,S
2022-3-15,ABT,ABBOTT LABORATORIES,1804.00,117.48,211933.92,1.02,S
2022-3-15,ELY,CALLAWAY GOLF COMPANY,9666.00,21.82,210912.12,1.01,S
2022-3-15,SQ,BLOCK INC,1920.00,103.09,197932.80,0.95,S
2022-3-15,RBLX,ROBLOX CORP -CLASS A,5116.00,37.87,193742.92,0.93,S
2022-3-15,NOC,NORTHROP GRUMMAN CORP,395.00,447.82,176888.90,0.85,S
2022-3-15,MP,MP MATERIALS CORP,3900.00,41.54,162006.00,0.78,S
2022-3-15,CRWD,CROWDSTRIKE HOLDINGS INC - A,805.00,188.64,151855.20,0.73,S
2022-3-15,ILMN,ILLUMINA INC,485.00,312.61,151615.85,0.73,S
2022-3-15,CCI,CROWN CASTLE INTL CORP,864.00,172.76,149264.64,0.72,S
2022-3-15,FUV,ARCIMOTO INC,22137.00,6.20,137249.40,0.66,S
2022-3-15,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,960.00,142.88,137164.80,0.66,S
2022-3-15,ZIM,ZIM INTEGRATED SHIPPING SERV,1465.00,85.24,124876.60,0.60,FS
2022-3-15,SHOP,SHOPIFY INC - CLASS A,222.00,553.43,122861.46,0.59,FS
2022-3-15,EA,ELECTRONIC ARTS INC,960.00,120.80,115968.00,0.56,S
2022-3-15,U,UNITY SOFTWARE INC,1249.00,77.28,96522.72,0.46,S
2022-3-15,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,139835.61,1.00,139835.61,0.67,MM
2022-3-15,CASH,CASH,119158.36,100.00,119158.36,0.57,CA
