Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-01,TSLA,TESLA INC,2548.00,879.89,2241959.72,9.83,S
2022-3-01,NVDA,NVIDIA CORP,4649.00,242.20,1125987.80,4.94,S
2022-3-01,MSFT,MICROSOFT CORP,3726.00,300.19,1118507.94,4.90,S
2022-3-01,MGM,MGM RESORTS INTERNATIONAL,25189.00,43.73,1101514.97,4.83,S
2022-3-01,AAPL,APPLE INC,5830.00,166.56,971044.80,4.26,S
2022-3-01,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,75.25,951235.25,4.17,MF
2022-3-01,BX,BLACKSTONE INC,6962.00,130.22,906591.64,3.97,S
2022-3-01,LEN,LENNAR CORP-A,8652.00,92.05,796416.60,3.49,S
2022-3-01,GOOG,ALPHABET INC-CL C,277.00,2695.03,746523.31,3.27,S
2022-3-01,HD,HOME DEPOT INC,2277.00,327.37,745421.49,3.27,S
2022-3-01,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,190.26,675613.26,2.96,S
2022-3-01,NFLX,NETFLIX INC,1638.00,380.03,622489.14,2.73,S
2022-3-01,MSOS,ADVISORSHARES PURE US CANN,30223.00,20.44,617758.12,2.71,MF
2022-3-01,TMO,THERMO FISHER SCIENTIFIC INC,993.00,556.45,552554.85,2.42,S
2022-3-01,ZTS,ZOETIS INC,2803.00,196.07,549584.21,2.41,S
2022-3-01,ASML,ASML HOLDING NV-NY REG SHS,754.00,655.37,494148.98,2.17,FS
2022-3-01,SIVB,SVB FINANCIAL GROUP,806.00,594.51,479175.06,2.10,S
2022-3-01,NKE,NIKE INC -CL B,3312.00,135.68,449372.16,1.97,S
2022-3-01,DIS,WALT DISNEY CO/THE,3038.00,147.34,447618.92,1.96,S
2022-3-01,PLD,PROLOGIS INC,3008.00,147.64,444101.12,1.95,S
2022-3-01,SCHW,SCHWAB (CHARLES) CORP,5422.00,81.81,443573.82,1.94,S
2022-3-01,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,314.46,413200.44,1.81,S
2022-3-01,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,194.50,393084.50,1.72,S
2022-3-01,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,39.15,391500.00,1.72,S
2022-3-01,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,18.15,365958.45,1.60,S
2022-3-01,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,11.06,358554.14,1.57,S
2022-3-01,AMZN,AMAZON.COM INC,117.00,3041.05,355802.85,1.56,S
2022-3-01,FLGT,FULGENT GENETICS INC,5906.00,58.89,347804.34,1.52,S
2022-3-01,ELY,CALLAWAY GOLF COMPANY,14006.00,24.71,346088.26,1.52,S
2022-3-01,NEE,NEXTERA ENERGY INC,4230.00,77.55,328036.50,1.44,S
2022-3-01,RBLX,ROBLOX CORP -CLASS A,5241.00,48.45,253926.45,1.11,S
2022-3-01,SPWR,SUNPOWER CORP,14242.00,17.72,252368.24,1.11,S
2022-3-01,SQ,BLOCK INC,1970.00,124.26,244792.20,1.07,S
2022-3-01,ILMN,ILLUMINA INC,686.00,330.19,226510.34,0.99,S
2022-3-01,ABT,ABBOTT LABORATORIES,1849.00,120.36,222545.64,0.98,S
2022-3-01,MRNA,MODERNA INC,1497.00,147.86,221346.42,0.97,S
2022-3-01,SBUX,STARBUCKS CORP,2000.00,92.77,185540.00,0.81,S
2022-3-01,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,160.86,158447.10,0.69,S
2022-3-01,FUV,ARCIMOTO INC,22692.00,6.94,157482.48,0.69,S
2022-3-01,CCI,CROWN CASTLE INTL CORP,884.00,173.20,153108.80,0.67,S
2022-3-01,SHOP,SHOPIFY INC - CLASS A,227.00,659.83,149781.41,0.66,FS
2022-3-01,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,201.75,145260.00,0.64,S
2022-3-01,PFE,PFIZER INC,2958.00,47.70,141096.60,0.62,S
2022-3-01,U,UNITY SOFTWARE INC,1279.00,101.37,129652.23,0.57,S
2022-3-01,EA,ELECTRONIC ARTS INC,985.00,129.26,127321.10,0.56,S
2022-3-01,MP,MP MATERIALS CORP,3000.00,41.98,125940.00,0.55,S
2022-3-01,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,145054.18,1.00,145054.18,0.64,MM
2022-3-01,CASH,CASH,-6672.39,100.00,-6672.39,-0.03,CA
