Date,Stock Ticker,Security Description,Shares/Par (Full),Price (Base),Traded Market Value (Base),Portfolio Weight %,Asset Group
2022-3-03,TSLA,TESLA INC,2548.00,839.29,2138510.92,9.58,S
2022-3-03,MSFT,MICROSOFT CORP,3726.00,295.92,1102597.92,4.94,S
2022-3-03,NVDA,NVIDIA CORP,4649.00,237.14,1102463.86,4.94,S
2022-3-03,MGM,MGM RESORTS INTERNATIONAL,25189.00,43.35,1091943.15,4.89,S
2022-3-03,AAPL,APPLE INC,5830.00,166.23,969120.90,4.34,S
2022-3-03,LIT,GLOBAL X LITHIUM & BATTERY T,12641.00,73.66,931136.06,4.17,MF
2022-3-03,BX,BLACKSTONE INC,6962.00,125.85,876167.70,3.93,S
2022-3-03,LEN,LENNAR CORP-A,8652.00,89.89,777728.28,3.49,S
2022-3-03,GOOG,ALPHABET INC-CL C,277.00,2686.16,744066.32,3.33,S
2022-3-03,HD,HOME DEPOT INC,2277.00,324.36,738567.72,3.31,S
2022-3-03,IIPR,INNOVATIVE INDUSTRIAL PROPER,3551.00,187.48,665741.48,2.98,S
2022-3-03,NFLX,NETFLIX INC,1638.00,368.07,602898.66,2.70,S
2022-3-03,MSOS,ADVISORSHARES PURE US CANN,30223.00,19.82,599019.86,2.68,MF
2022-3-03,TMO,THERMO FISHER SCIENTIFIC INC,993.00,554.29,550409.97,2.47,S
2022-3-03,ZTS,ZOETIS INC,2803.00,195.87,549023.61,2.46,S
2022-3-03,ASML,ASML HOLDING NV-NY REG SHS,754.00,630.79,475615.66,2.13,FS
2022-3-03,SIVB,SVB FINANCIAL GROUP,806.00,584.23,470889.38,2.11,S
2022-3-03,PLD,PROLOGIS INC,3008.00,149.58,449936.64,2.02,S
2022-3-03,NKE,NIKE INC -CL B,3312.00,133.97,443708.64,1.99,S
2022-3-03,DIS,WALT DISNEY CO/THE,3038.00,145.57,442241.66,1.98,S
2022-3-03,SCHW,SCHWAB (CHARLES) CORP,5422.00,80.71,437609.62,1.96,S
2022-3-03,SEDG,SOLAREDGE TECHNOLOGIES INC,1314.00,301.82,396591.48,1.78,S
2022-3-03,MGP,MGM GROWTH PROPERTIES LLC-A,10000.00,38.81,388100.00,1.74,S
2022-3-03,WOOF,PETCO HEALTH AND WELLNESS CO,20163.00,18.02,363337.26,1.63,S
2022-3-03,GGPI,GORES GUGGENHEIM INC -CL A,32419.00,11.16,361796.04,1.62,S
2022-3-03,COIN,COINBASE GLOBAL INC -CLASS A,2021.00,178.03,359798.63,1.61,S
2022-3-03,AMZN,AMAZON.COM INC,117.00,2957.97,346082.49,1.55,S
2022-3-03,NEE,NEXTERA ENERGY INC,4230.00,78.79,333281.70,1.49,S
2022-3-03,ELY,CALLAWAY GOLF COMPANY,14006.00,23.79,333202.74,1.49,S
2022-3-03,FLGT,FULGENT GENETICS INC,5906.00,56.11,331385.66,1.49,S
2022-3-03,SPWR,SUNPOWER CORP,14242.00,17.06,242968.52,1.09,S
2022-3-03,RBLX,ROBLOX CORP -CLASS A,5241.00,45.24,237102.84,1.06,S
2022-3-03,ILMN,ILLUMINA INC,686.00,331.95,227717.70,1.02,S
2022-3-03,SQ,BLOCK INC,1970.00,114.22,225013.40,1.01,S
2022-3-03,ABT,ABBOTT LABORATORIES,1849.00,120.97,223673.53,1.00,S
2022-3-03,MRNA,MODERNA INC,1497.00,141.52,211855.44,0.95,S
2022-3-03,SBUX,STARBUCKS CORP,2000.00,91.53,183060.00,0.82,S
2022-3-03,TTWO,TAKE-TWO INTERACTIVE SOFTWRE,985.00,158.20,155827.00,0.70,S
2022-3-03,CCI,CROWN CASTLE INTL CORP,884.00,175.84,155442.56,0.70,S
2022-3-03,FUV,ARCIMOTO INC,22692.00,6.77,153624.84,0.69,S
2022-3-03,SHOP,SHOPIFY INC - CLASS A,227.00,640.75,145450.25,0.65,FS
2022-3-03,PFE,PFIZER INC,2958.00,47.83,141481.14,0.63,S
2022-3-03,CRWD,CROWDSTRIKE HOLDINGS INC - A,720.00,191.02,137534.40,0.62,S
2022-3-03,EA,ELECTRONIC ARTS INC,985.00,127.84,125922.40,0.56,S
2022-3-03,U,UNITY SOFTWARE INC,1279.00,94.92,121402.68,0.54,S
2022-3-03,MP,MP MATERIALS CORP,3000.00,40.09,120270.00,0.54,S
2022-3-03,BLACKROCKTREASURYTRUSTINSTL62,BLACKROCK TREASURY TRUST INSTL 62,145054.18,1.00,145054.18,0.65,MM
2022-3-03,CASH,CASH,-7038.03,100.00,-7038.03,-0.03,CA
